x	y
0.0	0.00
0.021	0.045
0.045	0.072
0.058	0.109
0.082	0.144
0.103	0.176
0.116	0.218
0.136	0.249
0.157	0.274
0.181	0.309
0.194	0.344
0.209	0.374
0.230	0.408
0.253	0.439
0.284	0.480
0.300	0.515
0.321	0.544
0.345	0.584
0.368	0.613
0.396	0.642
0.409	0.663
0.430	0.690
0.459	0.724
0.485	0.747
0.514	0.776
0.556	0.816
0.582	0.847
0.634	0.875
0.688	0.911
0.743	0.937
0.827	0.965
0.905	0.995
0.982	1.000
1.083	1.000
